date,time,tweet,retweets_count,likes_count,LEN,cleaned
2021/12/30,15:55:18,"Nishihara N., Morita K., Iwata S.: An extended syllogistic system with verbs and proper nouns, and its completeness proof. Systems Computer Japan 21, 96?€?111 (1990) $ORCL $MSFT #Logic #DataScience",0,0,2,nishihara morita iwata extend syllogistic system verb proper noun completeness proof system computer japan orcl msft logic datascience
2021/12/30,15:55:17,"Moss L. S.: Syllogistic logics with verbs. Journal of Logic and Computation 20, 947?€?967 (2010) $ORCL $MSFT #Logic #DataScience",0,0,2,moss syllogistic logic verb journal logic computation orcl msft logic datascience
2021/12/30,15:55:16,"Moss, L. S., Completeness theorems for syllogistic fragments, in F.Hamm and S. Kepser (eds.), Logics for Linguistic Structures, Mouton de Gruyter, 2008, 143?€?173. $ORCL $MSFT #Logic #DataScience",0,0,2,moss completeness theorem syllogistic fragment kepser ed logic linguistic structure mouton gruyter orcl msft logic datascience
2021/12/30,15:55:15,"Montague, R., Formal Philosophy: Selected Papers of Richard Montague, R. Thomason (ed.), Yale University Press, 1974. $ORCL $MSFT #Logic #DataScience",0,0,2,montague formal philosophy select paper richard montague thomason yale university press orcl msft logic datascience
2021/12/30,15:55:14,"Mineshima, K., M. Okada, and R. Takemura, Formalizing inferences with Euler diagrams in terms of inclusion and exclusion relations: a proof-theoretical approach, submitted. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura formalize inference euler diagram term inclusion exclusion relation proof-theoretical approach submit orcl msft logic datascience
2021/12/30,15:55:12,"Mineshima, K., M. Okada, and R. Takemura, A diagrammatic inference system with Euler circles, to appear in Journal of Logic, Language and Information. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura diagrammatic inference system euler circle appear journal logic language information orcl msft logic datascience
2021/12/30,15:55:11,"Mineshima, K., M. Okada, and R. Takemura, Conservativity for a hierarchy of Euler and Venn reasoning systems, Visual Languages and Logic 2009, CEUR Series Vol. 510, 2009, pp. 37?€?61. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura conservativity hierarchy euler venn reason system visual language logic ceur series vol orcl msft logic datascience
2021/12/30,15:55:10,"MacCartney, B., and C. Manning, Modeling semantic containment and exclusion in natural language inference, The 22nd International Conference on Computational Linguistics (Coling-08), 2008, pp. 140?€?156. $ORCL $MSFT #Logic #DataScience",0,0,2,maccartney man model semantic containment exclusion natural language inference international conference computational linguistics coling orcl msft logic datascience
2021/12/30,15:53:23,@MarketRebels $MSFT $AAPL,0,0,2,msft aapl
2021/12/30,15:44:10,Some big guy wagering big on $msft 340 put 5000+ contracts,1,2,1,big guy wager big msft put contract
2021/12/30,15:33:44,"Swinging these, these are almost B/E, if you can't hold/dislike into tomorrow, you can sell for flat.  Keeping mine. $MSFT",0,2,1,swing almost can't hold dislike tomorrow sell flat keep mine msft
2021/12/30,15:29:13,$MSFT power hour power push coming... be prepared... All clear ???? ???,0,0,1,msft power hour power push come prepared clear
2021/12/30,15:27:52,"With the rotation that has characterized this year, we bought some $MSFT and $AMD calls for next week, as these 2 stocks have been weaker in the past 2 sessions and might have a better bounce once volume kicks in. Small size, lotto plays for January 7th",0,0,2,rotation characterize year bought msft amd call next week stock weaker past session might well bounce volume kick small size lotto play january
2021/12/30,15:10:17,@karmaoptions @Tradytics currently playing that $MSFT divergence,0,2,1,currently play msft divergence
2021/12/30,15:05:29,$MSFT does big caps not follow max-pain theory? ????,0,0,1,msft big cap not follow max-pain theory
2021/12/30,15:03:12,$MSFT call volume is insane with a lot OTM going into tomorrow. Big run tomorrow? Or big burn. ????,0,0,1,msft call volume insane lot otm go tomorrow big run tomorrow big burn
2021/12/30,14:59:15,"$AAPL is up 35% this year,  ???? $MSFT 50%,  ???? $NVDA 130%.  ???? ?€? Josh Lipton, Halftime Report #TradersEdge",0,0,3,aapl year msft nvda josh lipton halftime report tradersedge
2021/12/30,14:50:53,@BladeHawk8 @endtl88 @traderstewie Last time I checked $aapl and $msft are not in the $smh,0,0,3,last time checked aapl msft not smh
2021/12/30,14:42:45,@Budgetdog_ @Dividend_Dollar From what I?€?ve seen $MSFT and $AAPL are usually the 2 tech people choose.,0,2,2,see msft aapl usually tech people choose
2021/12/30,14:38:20,Bitcoin's mcap went from 100B to 1T in almost 1 year.   The market has changed. It's a large asset now. Forget huge spikes upwards. You won't see $AMZN or $MSFT doing 300% parabolic spikes every 6 months. You will see lots of boring sidewats consolidation though.,0,0,2,bitcoin's mcap go almost year market change large asset forget huge spike upwards won't see amzn msft parabolic spike every month see lot boring sidewats consolidation though
2021/12/30,14:35:55,@seetiepi @sandxingh @ChampionVibe2 @MarketWN And if the broader market was up you would saying everyone is blindly buying everything and there is another ?€?bubble?€?. This is not 2000 these cos grow and earn and will keep growing and earning. $aapl $msft $nvda are the best at what they do. That?€?s enough reason for the premium,0,0,3,broader market would say everyone blindly buying everything another bubble not co grow earn keep grow earn aapl msft nvda best enough reason premium
2021/12/30,14:34:50,it redirect to a web page itself asking to download a .msi that can?€?t be executed on this device because it is a #Windows10Smode and can only install $MSFT store apps #UX #NonSense /3,0,0,1,redirect web page ask download msi execute device windowssmode install msft store apps nonsense
2021/12/30,14:32:36,@endtl88 @traderstewie Look today at some of the leaders of the recent rally : $amd $aapl $msft It looks like the rising interest rates in the bond market are removing the wind out of their sail Which can affect the index and precipitate selling followed by shorting.,0,0,3,look today leader recent rally amd aapl msft look like rise interest rate bond market remove wind sail affect index precipitate sell follow short
2021/12/30,14:29:07,Added $pltr and $msft ????,0,0,2,add pltr msft
2021/12/30,14:27:29,"A little gem for the people who know I post some lotto's on Friday.  $MSFT 342.5c @ .70, trying to set some people up.",2,19,1,little gem people know post lotto's friday msft try set people
2021/12/30,14:15:01,@BArmstrong_TDA Lots of double bottoms in this market $MSFT $GOOGL $IWM,0,1,3,lot double bottom market msft googl iwm
2021/12/30,14:10:57,$msft triple top?,0,0,1,msft triple top
2021/12/30,14:09:57,$MSFT nice to see this and aapl down for once ????,0,0,1,msft nice see aapl
2021/12/30,13:56:20,"Alright everyone, I'm calling it here. I fortunately had 2 green trades today on $QQQ and $MSFT. We will never know the type of day it will be until after the fact. Right now, action is so tough. It's choppy and no follow through. Technical set ups aren't having that ""umph."" $SPY",0,0,3,alright everyone call fortunately green trade today qqq msft never know type day fact right action tough choppy follow technical set ups aren't umph spy
2021/12/30,13:44:52,$MSFT Shaved a little from core for some LT gain here. ????,0,0,1,msft shave little core gain
2021/12/30,13:34:11,"Okay, let me help me out.  $MSFT 345 C 1/22/22 3.64",0,2,1,okay let help msft
