date,time,tweet,retweets_count,likes_count,LEN,cleaned
2021/12/30,15:55:18,"Nishihara N., Morita K., Iwata S.: An extended syllogistic system with verbs and proper nouns, and its completeness proof. Systems Computer Japan 21, 96?€?111 (1990) $ORCL $MSFT #Logic #DataScience",0,0,2,nishihara morita iwata extend syllogistic system verb proper noun completeness proof system computer japan orcl msft logic datascience
2021/12/30,15:55:17,"Moss L. S.: Syllogistic logics with verbs. Journal of Logic and Computation 20, 947?€?967 (2010) $ORCL $MSFT #Logic #DataScience",0,0,2,moss syllogistic logic verb journal logic computation orcl msft logic datascience
2021/12/30,15:55:16,"Moss, L. S., Completeness theorems for syllogistic fragments, in F.Hamm and S. Kepser (eds.), Logics for Linguistic Structures, Mouton de Gruyter, 2008, 143?€?173. $ORCL $MSFT #Logic #DataScience",0,0,2,moss completeness theorem syllogistic fragment kepser ed logic linguistic structure mouton gruyter orcl msft logic datascience
2021/12/30,15:55:15,"Montague, R., Formal Philosophy: Selected Papers of Richard Montague, R. Thomason (ed.), Yale University Press, 1974. $ORCL $MSFT #Logic #DataScience",0,0,2,montague formal philosophy select paper richard montague thomason yale university press orcl msft logic datascience
2021/12/30,15:55:14,"Mineshima, K., M. Okada, and R. Takemura, Formalizing inferences with Euler diagrams in terms of inclusion and exclusion relations: a proof-theoretical approach, submitted. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura formalize inference euler diagram term inclusion exclusion relation proof-theoretical approach submit orcl msft logic datascience
2021/12/30,15:55:12,"Mineshima, K., M. Okada, and R. Takemura, A diagrammatic inference system with Euler circles, to appear in Journal of Logic, Language and Information. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura diagrammatic inference system euler circle appear journal logic language information orcl msft logic datascience
2021/12/30,15:55:11,"Mineshima, K., M. Okada, and R. Takemura, Conservativity for a hierarchy of Euler and Venn reasoning systems, Visual Languages and Logic 2009, CEUR Series Vol. 510, 2009, pp. 37?€?61. $ORCL $MSFT #Logic #DataScience",0,0,2,mineshima okada takemura conservativity hierarchy euler venn reason system visual language logic ceur series vol orcl msft logic datascience
2021/12/30,15:55:10,"MacCartney, B., and C. Manning, Modeling semantic containment and exclusion in natural language inference, The 22nd International Conference on Computational Linguistics (Coling-08), 2008, pp. 140?€?156. $ORCL $MSFT #Logic #DataScience",0,0,2,maccartney man model semantic containment exclusion natural language inference international conference computational linguistics coling orcl msft logic datascience
2021/12/30,15:53:23,@MarketRebels $MSFT $AAPL,0,0,2,msft aapl
2021/12/30,15:44:10,Some big guy wagering big on $msft 340 put 5000+ contracts,1,2,1,big guy wager big msft put contract
2021/12/30,15:33:44,"Swinging these, these are almost B/E, if you can't hold/dislike into tomorrow, you can sell for flat.  Keeping mine. $MSFT",0,2,1,swing almost can't hold dislike tomorrow sell flat keep mine msft
